timestamp,average_dormancy,sa_average_dormancy
2024-01-01,7.20035731,3.7e-07
2024-01-02,13.96804488,7.1e-07
2024-01-03,12.54942797,6.4e-07
2024-01-04,64.39413201,3.29e-06
2024-01-05,11.22855368,5.7e-07
2024-01-06,6.75403491,3.4e-07
2024-01-07,8.09980044,4.1e-07
2024-01-08,10.05952744,5.1e-07
2024-01-09,11.61447894,5.9e-07
2024-01-10,8.26279444,4.2e-07
2024-01-11,9.87091693,5e-07
2024-01-12,8.57577943,4.4e-07
2024-01-13,5.76072701,2.9e-07
2024-01-14,12.03001219,6.1e-07
2024-01-15,9.19556671,4.7e-07
2024-01-16,113.69706419,5.8e-06
2024-01-17,20.85319926,1.06e-06
2024-01-18,19.36925284,9.9e-07
2024-01-19,17.63224276,9e-07
2024-01-20,5.98497515,3.1e-07
2024-01-21,4.52212185,2.3e-07
2024-01-22,23.76113043,1.21e-06
2024-01-23,22.99433767,1.17e-06
2024-01-24,52.0796775,2.66e-06
2024-01-25,25.91838814,1.32e-06
2024-01-26,15.57473003,7.9e-07
2024-01-27,7.6781406,3.9e-07
2024-01-28,6.61620092,3.4e-07
2024-01-29,15.05312905,7.7e-07
2024-01-30,19.23873348,9.8e-07
2024-01-31,14.59351137,7.4e-07
2024-02-01,10.56907546,5.4e-07
2024-02-02,15.50295196,7.9e-07
2024-02-03,3.5319803,1.8e-07
2024-02-04,12.59243877,6.4e-07
2024-02-05,13.64202669,7e-07
2024-02-06,28.86624903,1.47e-06
2024-02-07,11.47796154,5.8e-07
2024-02-08,8.77366795,4.5e-07
2024-02-09,9.41930815,4.8e-07
2024-02-10,9.36311256,4.8e-07
2024-02-11,9.85191814,5e-07
2024-02-12,14.33035575,7.3e-07
2024-02-13,10.02817993,5.1e-07
2024-02-14,19.35240586,9.9e-07
2024-02-15,14.92895709,7.6e-07
2024-02-16,15.49050993,7.9e-07
2024-02-17,10.00458191,5.1e-07
2024-02-18,8.80840964,4.5e-07
2024-02-19,49.44561105,2.52e-06
2024-02-20,9.23881354,4.7e-07
2024-02-21,12.86900201,6.6e-07
2024-02-22,21.98117988,1.12e-06
2024-02-23,18.89731587,9.6e-07
2024-02-24,8.58411965,4.4e-07
2024-02-25,9.00528647,4.6e-07
2024-02-26,11.64789462,5.9e-07
2024-02-27,15.05415799,7.7e-07
2024-02-28,31.44370503,1.6e-06
2024-02-29,22.79637665,1.16e-06
2024-03-01,56.89080214,2.9e-06
2024-03-02,10.58262814,5.4e-07
2024-03-03,11.76617878,6e-07
2024-03-04,23.00829145,1.17e-06
2024-03-05,27.16508631,1.38e-06
2024-03-06,48.85195369,2.49e-06
2024-03-07,26.9912751,1.37e-06
2024-03-08,24.85513029,1.26e-06
2024-03-09,15.38749117,7.8e-07
2024-03-10,28.23307929,1.44e-06
2024-03-11,20.57079542,1.05e-06
2024-03-12,15.18255531,7.7e-07
2024-03-13,20.2069578,1.03e-06
2024-03-14,29.3477389,1.49e-06
2024-03-15,14.59878427,7.4e-07
2024-03-16,11.55128105,5.9e-07
2024-03-17,53.98408368,2.75e-06
2024-03-18,17.31236562,8.8e-07
2024-03-19,11.98202275,6.1e-07
2024-03-20,13.0750508,6.7e-07
2024-03-21,29.26297907,1.49e-06
2024-03-22,42.82515031,2.18e-06
2024-03-23,227.68402914,1.158e-05
2024-03-24,23.49854321,1.2e-06
2024-03-25,56.05822837,2.85e-06
2024-03-26,22.24524419,1.13e-06
2024-03-27,12.10925252,6.2e-07
2024-03-28,42.21307011,2.15e-06
2024-03-29,9.65666031,4.9e-07
2024-03-30,11.11624325,5.7e-07
2024-03-31,17.79196247,9e-07
2024-04-01,57.47011796,2.92e-06
2024-04-02,24.85542918,1.26e-06
2024-04-03,11.02347549,5.6e-07
2024-04-04,11.09246958,5.6e-07
2024-04-05,6.33856345,3.2e-07
2024-04-06,12.19810026,6.2e-07
2024-04-07,9.57601405,4.9e-07
2024-04-08,9.76020528,5e-07
2024-04-09,14.20033891,7.2e-07
2024-04-10,10.11356211,5.1e-07
2024-04-11,8.04348322,4.1e-07
2024-04-12,11.64734696,5.9e-07
2024-04-13,8.06079488,4.1e-07
2024-04-14,9.88664157,5e-07
2024-04-15,10.53046855,5.3e-07
2024-04-16,23.90095229,1.21e-06
2024-04-17,8.96186412,4.6e-07
2024-04-18,21.26177303,1.08e-06
2024-04-19,14.46494915,7.3e-07
2024-04-20,6.73915079,3.4e-07
2024-04-21,7.32207134,3.7e-07
2024-04-22,8.20985363,4.2e-07
2024-04-23,11.14462316,5.7e-07
2024-04-24,28.52478966,1.45e-06
2024-04-25,11.22217793,5.7e-07
2024-04-26,9.40093273,4.8e-07
2024-04-27,16.19712956,8.2e-07
2024-04-28,12.54116432,6.4e-07
2024-04-29,11.64873903,5.9e-07
2024-04-30,15.86509661,8.1e-07
2024-05-01,11.00866915,5.6e-07
2024-05-02,10.80632484,5.5e-07
2024-05-03,13.33919625,6.8e-07
2024-05-04,6.71380744,3.4e-07
2024-05-05,5.7147507,2.9e-07
2024-05-06,14.64070454,7.4e-07
2024-05-07,6.98895574,3.5e-07
2024-05-08,10.90383596,5.5e-07
2024-05-09,7.47865842,3.8e-07
2024-05-10,6.64585385,3.4e-07
2024-05-11,10.60175615,5.4e-07
2024-05-12,17.35478483,8.8e-07
2024-05-13,9.11042095,4.6e-07
2024-05-14,14.12060611,7.2e-07
2024-05-15,49.30504474,2.5e-06
2024-05-16,8.5122127,4.3e-07
2024-05-17,9.56938044,4.9e-07
2024-05-18,6.24882396,3.2e-07
2024-05-19,8.93202077,4.5e-07
2024-05-20,11.70601543,5.9e-07
2024-05-21,11.09359691,5.6e-07
2024-05-22,22.78981861,1.16e-06
2024-05-23,18.82756675,9.6e-07
2024-05-24,13.80558199,7e-07
2024-05-25,7.04533351,3.6e-07
2024-05-26,13.25417042,6.7e-07
2024-05-27,18.50037854,9.4e-07
2024-05-28,502.97117674,2.553e-05
2024-05-29,9.11837827,4.6e-07
2024-05-30,12.34568731,6.3e-07
2024-05-31,7.39713966,3.8e-07
2024-06-01,9.40540775,4.8e-07
2024-06-02,8.08794743,4.1e-07
2024-06-03,18.08508881,9.2e-07
2024-06-04,10.88237195,5.5e-07
2024-06-05,10.55201195,5.4e-07
2024-06-06,24.60504062,1.25e-06
2024-06-07,11.20004755,5.7e-07
2024-06-08,11.10748154,5.6e-07
2024-06-09,10.83524715,5.5e-07
2024-06-10,9.30982793,4.7e-07
2024-06-11,55.80304185,2.83e-06
2024-06-12,15.77687506,8e-07
2024-06-13,7.59771021,3.9e-07
2024-06-14,9.29203597,4.7e-07
2024-06-15,20.8706007,1.06e-06
2024-06-16,5.43563389,2.8e-07
2024-06-17,13.56150033,6.9e-07
2024-06-18,7.43560784,3.8e-07
2024-06-19,8.45233828,4.3e-07
2024-06-20,8.74827883,4.4e-07
2024-06-21,16.17885028,8.2e-07
2024-06-22,162.32177054,8.23e-06
2024-06-23,9.98247015,5.1e-07
2024-06-24,20.33831308,1.03e-06
2024-06-25,11.43970643,5.8e-07
2024-06-26,14.4504905,7.3e-07
2024-06-27,36.89290652,1.87e-06
2024-06-28,12.72920803,6.5e-07
2024-06-29,5.51519681,2.8e-07
2024-06-30,10.11090637,5.1e-07
2024-07-01,12.96995091,6.6e-07
2024-07-02,9.1069677,4.6e-07
2024-07-03,34.98099052,1.77e-06
2024-07-04,17.37460382,8.8e-07
2024-07-05,43.53367232,2.21e-06
2024-07-06,7.13101277,3.6e-07
2024-07-07,12.0364949,6.1e-07
2024-07-08,6.07953261,3.1e-07
2024-07-09,24.9559196,1.27e-06
2024-07-10,19.09417154,9.7e-07
2024-07-11,5.71863232,2.9e-07
2024-07-12,10.95856334,5.6e-07
2024-07-13,6.51005226,3.3e-07
2024-07-14,11.83935087,6e-07
2024-07-15,10.69695681,5.4e-07
2024-07-16,7.53960508,3.8e-07
2024-07-17,12.02272481,6.1e-07
2024-07-18,29.21898335,1.48e-06
2024-07-19,36.5330138,1.85e-06
2024-07-20,6.18291946,3.1e-07
2024-07-21,6.75029521,3.4e-07
2024-07-22,9.10033458,4.6e-07
2024-07-23,61.23855223,3.1e-06
2024-07-24,11.78149028,6e-07
2024-07-25,23.73569439,1.2e-06
2024-07-26,10.56887988,5.4e-07
2024-07-27,14.52022367,7.4e-07
2024-07-28,12.76981252,6.5e-07
2024-07-29,17.85193311,9e-07
2024-07-30,51.12353646,2.59e-06
2024-07-31,7.05637008,3.6e-07
2024-08-01,17.74351239,9e-07
2024-08-02,7.27276478,3.7e-07
2024-08-03,15.66443427,7.9e-07
2024-08-04,11.23401832,5.7e-07
2024-08-05,25.95302235,1.32e-06
2024-08-06,5.99681342,3e-07
2024-08-07,18.18704194,9.2e-07
2024-08-08,7.97991131,4e-07
2024-08-09,10.49821654,5.3e-07
2024-08-10,30.81895732,1.56e-06
2024-08-11,4.93236749,2.5e-07
2024-08-12,8.7605715,4.4e-07
2024-08-13,7.94826219,4e-07
2024-08-14,5.75265337,2.9e-07
2024-08-15,10.60503235,5.4e-07
2024-08-16,8.31234343,4.2e-07
2024-08-17,5.83515634,3e-07
2024-08-18,7.24945856,3.7e-07
2024-08-19,8.89059974,4.5e-07
2024-08-20,8.83309673,4.5e-07
2024-08-21,11.27378883,5.7e-07
2024-08-22,8.42644156,4.3e-07
2024-08-23,10.44553187,5.3e-07
2024-08-24,6.60502858,3.3e-07
2024-08-25,5.12413972,2.6e-07
2024-08-26,7.71932,3.9e-07
2024-08-27,18.28622607,9.3e-07
2024-08-28,6.82081171,3.5e-07
2024-08-29,52.59967955,2.66e-06
2024-08-30,7.00585168,3.5e-07
2024-08-31,17.84140963,9e-07
2024-09-01,2.84128775,1.4e-07
2024-09-02,5.5503291,2.8e-07
2024-09-03,8.64115187,4.4e-07
2024-09-04,10.64482907,5.4e-07
2024-09-05,7.57570691,3.8e-07
2024-09-06,13.60136322,6.9e-07
2024-09-07,4.07675251,2.1e-07
2024-09-08,3.46620308,1.8e-07
2024-09-09,13.09923956,6.6e-07
2024-09-10,7.33511839,3.7e-07
2024-09-11,5.44554657,2.8e-07
2024-09-12,5.90284499,3e-07
2024-09-13,13.23430415,6.7e-07
2024-09-14,4.53486506,2.3e-07
2024-09-15,7.66145964,3.9e-07
2024-09-16,13.56547996,6.9e-07
2024-09-17,8.35766405,4.2e-07
2024-09-18,13.96201095,7.1e-07
2024-09-19,9.36173114,4.7e-07
2024-09-20,14.38276984,7.3e-07
2024-09-21,9.57819962,4.8e-07
2024-09-22,8.35592809,4.2e-07
2024-09-23,14.96787395,7.6e-07
2024-09-24,8.40163237,4.3e-07
2024-09-25,15.04296185,7.6e-07
2024-09-26,19.25730427,9.7e-07
2024-09-27,10.44288353,5.3e-07
2024-09-28,10.32185669,5.2e-07
2024-09-29,6.84492437,3.5e-07
2024-09-30,8.55938467,4.3e-07
2024-10-01,5.63972312,2.9e-07
2024-10-02,7.68001093,3.9e-07
2024-10-03,8.84788121,4.5e-07
2024-10-04,11.15438067,5.6e-07
2024-10-05,7.19105791,3.6e-07
2024-10-06,5.87251097,3e-07
2024-10-07,6.95550887,3.5e-07
