timestamp,nupl,nup,nul
2023-07-21,0.31591622,0.43098577,0.11668016
2023-07-22,0.31466827,0.42962538,0.11764441
2023-07-23,0.32243507,0.43322439,0.1129448
2023-07-24,0.30008449,0.42604057,0.12518508
2023-07-25,0.30131172,0.42586815,0.12449639
2023-07-26,0.30450328,0.42627621,0.12278586
2023-07-27,0.30200338,0.42576706,0.12343773
2023-07-28,0.30656051,0.42560592,0.1199689
2023-07-29,0.30772308,0.42592192,0.11925316
2023-07-30,0.30519241,0.42541301,0.12044003
2023-07-31,0.30410749,0.42425998,0.12122107
2023-08-01,0.31614362,0.42807641,0.11464818
2023-08-02,0.30327585,0.42381176,0.12131472
2023-08-03,0.30278145,0.42615761,0.12039337
2023-08-04,0.30140419,0.42123226,0.12298973
2023-08-05,0.30077643,0.4222945,0.12270252
2023-08-06,0.29956707,0.42373005,0.12248821
2023-08-07,0.30313794,0.42349628,0.12085077
2023-08-08,0.31668288,0.43030363,0.11253525
2023-08-09,0.31206507,0.42787735,0.11502414
2023-08-10,0.30857858,0.42622267,0.11688304
2023-08-11,0.30768641,0.42602242,0.11715272
2023-08-12,0.30632989,0.42616604,0.11751135
2023-08-13,0.30457546,0.42379862,0.11910379
2023-08-14,0.30773789,0.42481428,0.11709193
2023-08-15,0.30178988,0.42260971,0.12039902
2023-08-16,0.29074155,0.4179074,0.12757714
2023-08-17,0.23547301,0.40114674,0.16477662
2023-08-18,0.21961861,0.39590317,0.17659114
2023-08-19,0.22080887,0.39601208,0.17571208
2023-08-20,0.22355617,0.3966329,0.17358649
2023-08-21,0.22210553,0.39629284,0.17435582
2023-08-22,0.21960878,0.39546359,0.17591459
2023-08-23,0.23139346,0.39865406,0.1671175
2023-08-24,0.22486342,0.39450426,0.1731477
2023-08-25,0.22132203,0.39469137,0.17470667
2023-08-26,0.21966534,0.39494952,0.17535312
2023-08-27,0.22200741,0.39511967,0.17370838
2023-08-28,0.22253764,0.39545625,0.17296034
2023-08-29,0.26805533,0.40803049,0.14230065
2023-08-30,0.25728304,0.40539452,0.14844981
2023-08-31,0.21793379,0.39407933,0.1757554
2023-09-01,0.21417221,0.39329581,0.17818658
2023-09-02,0.21631014,0.39305722,0.17700981
2023-09-03,0.21990142,0.39379983,0.1743262
2023-09-04,0.21540315,0.39267286,0.17749647
2023-09-05,0.21431466,0.39243028,0.17805913
2023-09-06,0.21332197,0.39256004,0.1783036
2023-09-07,0.2286923,0.39630742,0.16738273
2023-09-08,0.21821569,0.39320634,0.174813
