timestamp,average_dormancy,sa_average_dormancy
2025-03-01,7.67530299,3.9e-07
2025-03-02,9.64967026,4.9e-07
2025-03-03,18.86626146,9.5e-07
2025-03-04,13.70687414,6.9e-07
2025-03-05,11.01476581,5.6e-07
2025-03-06,22.37486403,1.13e-06
2025-03-07,15.63626881,7.9e-07
2025-03-08,5.04173259,2.5e-07
2025-03-09,8.6336724,4.4e-07
2025-03-10,32.49417275,1.64e-06
2025-03-11,20.38998217,1.03e-06
2025-03-12,21.81469255,1.1e-06
2025-03-13,17.09682835,8.6e-07
2025-03-14,21.61260813,1.09e-06
2025-03-15,4.89230786,2.5e-07
2025-03-16,9.46362452,4.8e-07
2025-03-17,12.86464159,6.5e-07
2025-03-18,11.16282804,5.6e-07
2025-03-19,14.51730431,7.3e-07
2025-03-20,26.40875614,1.33e-06
2025-03-21,8.64877606,4.4e-07
2025-03-22,30.3786107,1.53e-06
2025-03-23,8.75036207,4.4e-07
2025-03-24,10.66418826,5.4e-07
2025-03-25,13.20527267,6.7e-07
2025-03-26,14.72974559,7.4e-07
2025-03-27,11.26970929,5.7e-07
2025-03-28,40.98321004,2.07e-06
2025-03-29,6.82207672,3.4e-07
2025-03-30,10.76475389,5.4e-07
2025-03-31,13.57424658,6.8e-07
2025-04-01,11.03222134,5.6e-07
