timestamp,mvrv
2023-04-01,1.44161048
2023-04-02,1.42700166
2023-04-03,1.40782125
2023-04-04,1.42668992
2023-04-05,1.42463708
2023-04-06,1.41818777
2023-04-07,1.41335752
2023-04-08,1.41389991
2023-04-09,1.4320812
2023-04-10,1.49844836
2023-04-11,1.52441962
2023-04-12,1.50703804
2023-04-13,1.53029326
2023-04-14,1.53325961
2023-04-15,1.52462472
2023-04-16,1.52537212
2023-04-17,1.48016188
2023-04-18,1.52709537
2023-04-19,1.44639098
2023-04-20,1.41929097
2023-04-21,1.36938408
2023-04-22,1.39719822
2023-04-23,1.38564153
2023-04-24,1.38135334
2023-04-25,1.42176766
2023-04-26,1.4262808
2023-04-27,1.47896262
2023-04-28,1.46976534
2023-04-29,1.46492938
2023-04-30,1.46414637
2023-05-01,1.40643486
2023-05-02,1.43469519
2023-05-03,1.45184864
2023-05-04,1.44319947
2023-05-05,1.47402586
2023-05-06,1.43257862
2023-05-07,1.40748323
2023-05-08,1.37510946
2023-05-09,1.37320506
2023-05-10,1.36983367
2023-05-11,1.34234769
2023-05-12,1.33305707
2023-05-13,1.33234727
2023-05-14,1.33961076
2023-05-15,1.35020732
2023-05-16,1.34343813
2023-05-17,1.36226987
2023-05-18,1.33322644
2023-05-19,1.33627835
2023-05-20,1.34679012
2023-05-21,1.3288361
2023-05-22,1.33261417
2023-05-23,1.35095583
2023-05-24,1.30663085
2023-05-25,1.3130925
2023-05-26,1.32489587
2023-05-27,1.33279253
2023-05-28,1.39226843
2023-05-29,1.37511102
2023-05-30,1.37251079
2023-05-31,1.34867173
2023-06-01,1.3285394
2023-06-02,1.34987864
2023-06-03,1.34127016
2023-06-04,1.34377073
2023-06-05,1.27513969
2023-06-06,1.34999485
2023-06-07,1.32674608
2023-06-08,1.3138272
2023-06-09,1.31159599
2023-06-10,1.28179257
2023-06-11,1.28592938
2023-06-12,1.28945205
2023-06-13,1.28623923
2023-06-14,1.24681879
2023-06-15,1.26845376
2023-06-16,1.30561075
