timestamp,average_dormancy,sa_average_dormancy
2021-06-10,7.31859535,3.9e-07
2021-06-11,8.72915252,4.7e-07
2021-06-12,2.37125803,1.3e-07
2021-06-13,3.74339754,2e-07
2021-06-14,4.39014622,2.3e-07
2021-06-15,5.33308489,2.8e-07
2021-06-16,3.09386698,1.7e-07
2021-06-17,3.13378663,1.7e-07
2021-06-18,3.01074921,1.6e-07
2021-06-19,2.1905781,1.2e-07
2021-06-20,2.56069647,1.4e-07
2021-06-21,4.3405089,2.3e-07
2021-06-22,3.96897962,2.1e-07
2021-06-23,7.25070303,3.9e-07
2021-06-24,5.16035791,2.8e-07
2021-06-25,8.5734757,4.6e-07
2021-06-26,1.54424808,8e-08
2021-06-27,3.27791499,1.7e-07
2021-06-28,2.97326213,1.6e-07
2021-06-29,2.78637957,1.5e-07
2021-06-30,3.60638576,1.9e-07
2021-07-01,3.67732912,2e-07
2021-07-02,5.83555428,3.1e-07
2021-07-03,1.92260945,1e-07
2021-07-04,2.40491053,1.3e-07
2021-07-05,3.48302403,1.9e-07
2021-07-06,3.11070432,1.7e-07
2021-07-07,5.03858949,2.7e-07
2021-07-08,1.43390546,8e-08
2021-07-09,1.85047908,1e-07
2021-07-10,1.20687996,6e-08
2021-07-11,1.67986865,9e-08
2021-07-12,7.92153788,4.2e-07
2021-07-13,2.64135018,1.4e-07
2021-07-14,3.54504465,1.9e-07
2021-07-15,3.64418547,1.9e-07
2021-07-16,3.13938245,1.7e-07
2021-07-17,42.75134592,2.28e-06
2021-07-18,2.77499375,1.5e-07
2021-07-19,3.26061892,1.7e-07
2021-07-20,5.19717612,2.8e-07
2021-07-21,3.0500427,1.6e-07
2021-07-22,3.33782627,1.8e-07
2021-07-23,3.48739853,1.9e-07
2021-07-24,1.3776286,7e-08
2021-07-25,2.06985578,1.1e-07
2021-07-26,10.01044517,5.3e-07
2021-07-27,3.08784136,1.6e-07
2021-07-28,8.51876254,4.5e-07
2021-07-29,56.80646774,3.03e-06
2021-07-30,2.96565331,1.6e-07
2021-07-31,1.844094,1e-07
2021-08-01,0.81448184,4e-08
2021-08-02,1.62840521,9e-08
2021-08-03,1.53546197,8e-08
2021-08-04,1.48698556,8e-08
2021-08-05,1.95850006,1e-07
2021-08-06,3.9771202,2.1e-07
2021-08-07,2.10667104,1.1e-07
2021-08-08,3.49440983,1.9e-07
2021-08-09,3.0147028,1.6e-07
2021-08-10,2.20101407,1.2e-07
2021-08-11,2.7333967,1.5e-07
2021-08-12,2.37427804,1.3e-07
2021-08-13,2.90575004,1.5e-07
2021-08-14,8.25646216,4.4e-07
2021-08-15,1.41428165,8e-08
2021-08-16,2.03890043,1.1e-07
2021-08-17,2.2439676,1.2e-07
2021-08-18,3.26481586,1.7e-07
2021-08-19,2.08680085,1.1e-07
2021-08-20,2.10587969,1.1e-07
2021-08-21,2.66783934,1.4e-07
2021-08-22,2.49779601,1.3e-07
2021-08-23,3.46508436,1.8e-07
2021-08-24,0.50502751,3e-08
2021-08-25,7.25757357,3.9e-07
2021-08-26,2.69717697,1.4e-07
2021-08-27,1.02960813,5e-08
2021-08-28,1.12376457,6e-08
2021-08-29,0.865864,5e-08
2021-08-30,1.76682609,9e-08
2021-08-31,2.10618256,1.1e-07
2021-09-01,1.64485206,9e-08
2021-09-02,1.37402953,7e-08
2021-09-03,2.00453654,1.1e-07
2021-09-04,1.41453746,8e-08
2021-09-05,1.46466314,8e-08
2021-09-06,1.53022019,8e-08
2021-09-07,1.69446188,9e-08
2021-09-08,1.64271418,9e-08
2021-09-09,3.56871713,1.9e-07
2021-09-10,1.12560333,6e-08
2021-09-11,0.68880372,4e-08
2021-09-12,0.78284872,4e-08
2021-09-13,0.43547834,2e-08
2021-09-14,1.10200898,6e-08
2021-09-15,2.72992562,1.5e-07
2021-09-16,2.79149571,1.5e-07
2021-09-17,1.43162164,8e-08
2021-09-18,1.24234632,7e-08
2021-09-19,1.6454519,9e-08
2021-09-20,1.12204094,6e-08
2021-09-21,0.31911691,2e-08
2021-09-22,1.42675916,8e-08
2021-09-23,1.11865734,6e-08
2021-09-24,1.15816069,6e-08
2021-09-25,0.33515714,2e-08
2021-09-26,23.22941375,1.23e-06
2021-09-27,2.11749594,1.1e-07
2021-09-28,1.69123782,9e-08
2021-09-29,1.57019639,8e-08
2021-09-30,2.35625475,1.3e-07
2021-10-01,1.48092306,8e-08
2021-10-02,1.39249302,7e-08
2021-10-03,1.06951196,6e-08
2021-10-04,1.89051746,1e-07
2021-10-05,1.75481438,9e-08
2021-10-06,2.22428428,1.2e-07
2021-10-07,2.21705545,1.2e-07
2021-10-08,1.61382791,9e-08
2021-10-09,1.51519913,8e-08
2021-10-10,4.09911207,2.2e-07
2021-10-11,1.75555859,9e-08
2021-10-12,5.3933272,2.9e-07
2021-10-13,2.05710694,1.1e-07
2021-10-14,2.84005011,1.5e-07
2021-10-15,2.43824227,1.3e-07
2021-10-16,3.5269388,1.9e-07
2021-10-17,1.2753457,7e-08
2021-10-18,3.29608401,1.7e-07
2021-10-19,2.58261954,1.4e-07
2021-10-20,3.04501789,1.6e-07
2021-10-21,2.97580058,1.6e-07
2021-10-22,4.04593552,2.1e-07
2021-10-23,1.91319007,1e-07
2021-10-24,6.13538296,3.3e-07
2021-10-25,4.24921069,2.3e-07
2021-10-26,2.77499291,1.5e-07
2021-10-27,1.97931845,1e-07
2021-10-28,2.50783018,1.3e-07
2021-10-29,2.61369713,1.4e-07
2021-10-30,1.43967743,8e-08
2021-10-31,7.11897446,3.8e-07
2021-11-01,10.07375317,5.3e-07
2021-11-02,5.49892717,2.9e-07
2021-11-03,5.00964638,2.7e-07
2021-11-04,1.41240716,7e-08
2021-11-05,3.93516766,2.1e-07
2021-11-06,1.30032443,7e-08
2021-11-07,0.92359206,5e-08
2021-11-08,2.88465299,1.5e-07
2021-11-09,2.48057851,1.3e-07
2021-11-10,5.00861195,2.7e-07
2021-11-11,2.77552847,1.5e-07
2021-11-12,9.17233439,4.9e-07
2021-11-13,2.36644819,1.3e-07
2021-11-14,1.47516976,8e-08
2021-11-15,2.36918295,1.3e-07
2021-11-16,1.85059191,1e-07
2021-11-17,2.78050651,1.5e-07
2021-11-18,1.28834704,7e-08
2021-11-19,1.62561092,9e-08
2021-11-20,1.81218085,1e-07
2021-11-21,1.40870929,7e-08
2021-11-22,2.37874157,1.3e-07
2021-11-23,2.35381281,1.2e-07
2021-11-24,1.56175698,8e-08
2021-11-25,7.97757388,4.2e-07
2021-11-26,2.26595433,1.2e-07
2021-11-27,1.00649755,5e-08
2021-11-28,1.93603172,1e-07
2021-11-29,2.31272805,1.2e-07
2021-11-30,2.23502384,1.2e-07
2021-12-01,3.47228628,1.8e-07
2021-12-02,1.88541036,1e-07
2021-12-03,2.38904204,1.3e-07
2021-12-04,1.9603793,1e-07
2021-12-05,2.15771323,1.1e-07
2021-12-06,1.87741438,1e-07
2021-12-07,3.99070526,2.1e-07
2021-12-08,1.6971934,9e-08
2021-12-09,4.58509644,2.4e-07
2021-12-10,2.58844825,1.4e-07
2021-12-11,2.64724123,1.4e-07
