timestamp,cdd,sa_cdd,average_sa_cdd,binary_cdd
2023-07-05,5221709.37812689,0.26886894,0.52239298,0
2023-07-06,22020907.89642754,1.13381901,0.52250839,1
2023-07-07,4399692.14305725,0.22651989,0.52245253,0
2023-07-08,2037228.1273046,0.10488149,0.52237374,0
2023-07-09,3769703.63639141,0.19406302,0.52231181,0
2023-07-10,7264289.51561757,0.37394454,0.52228383,0
2023-07-11,12457410.04119958,0.64124346,0.52230626,1
2023-07-12,6933229.17116589,0.35687048,0.52227507,0
2023-07-13,10780490.45713545,0.55487713,0.52228122,1
2023-07-14,8354594.96333267,0.42999601,0.52226383,0
2023-07-15,2402943.39136326,0.12366969,0.52218872,0
2023-07-16,2657759.56096116,0.13677727,0.52211611,0
2023-07-17,10298116.06590379,0.52995242,0.52211759,1
2023-07-18,11454871.00123586,0.58944959,0.52213027,1
2023-07-19,9573357.72373938,0.49260644,0.52212471,0
2023-07-20,7397391.99959254,0.38062433,0.52209807,0
2023-07-21,9505470.39982137,0.48907548,0.52209185,0
2023-07-22,7017966.20699307,0.36107285,0.52206155,0
2023-07-23,3683459.5396205,0.18950424,0.52199898,0
2023-07-24,7176065.06935992,0.36917186,0.52197023,0
2023-07-25,4635967.8783778,0.23848619,0.52191691,0
2023-07-26,3757690.18630712,0.19329636,0.52185512,0
2023-07-27,23108957.00105357,1.1886768,0.52198049,1
2023-07-28,61339501.55226909,3.15503469,0.52247543,1
2023-07-29,3108868.26145863,0.15989975,0.52240729,0
2023-07-30,3109051.36944159,0.15990053,0.52233918,0
2023-07-31,7661468.81928036,0.39401646,0.52231507,0
2023-08-01,3782507.7579829,0.19451933,0.5222535,0
2023-08-02,10539843.24746924,0.54199538,0.52225721,1
2023-08-03,3340026.03014922,0.17174741,0.5221914,0
2023-08-04,5744832.2867672,0.29539342,0.52214882,0
2023-08-05,1778838.79920005,0.09146158,0.52206799,0
2023-08-06,3078167.47183079,0.15826006,0.52199972,0
2023-08-07,4298541.07413545,0.22099365,0.52194325,0
2023-08-08,8414640.76760898,0.43259037,0.52192649,0
2023-08-09,5645119.97170788,0.29019628,0.52188303,0
2023-08-10,6310953.94351144,0.32441129,0.521846,0
2023-08-11,3743052.1970105,0.19240031,0.52178424,0
2023-08-12,5080702.38732202,0.26114417,0.52173539,0
2023-08-13,3796523.92972802,0.19512993,0.52167418,0
2023-08-14,11649581.19702294,0.5987206,0.52168862,1
2023-08-15,6777704.73850493,0.34831551,0.52165614,0
2023-08-16,7465327.13602343,0.38363316,0.52163029,0
2023-08-17,10255165.58763787,0.52697282,0.52163129,1
2023-08-18,11519408.45123591,0.59191088,0.52164445,1
2023-08-19,2178962.00296663,0.1119583,0.52156776,0
2023-08-20,2797773.62001038,0.14374628,0.52149705,0
2023-08-21,6612625.11075429,0.3397308,0.52146304,0
2023-08-22,7475683.7045127,0.38405374,0.52143733,0
2023-08-23,4895604.90303528,0.25149401,0.52138684,0
2023-08-24,4763349.2835591,0.24468901,0.52133509,0
2023-08-25,4844663.26473429,0.24885517,0.52128414,0
2023-08-26,2097879.03798316,0.10775677,0.52120683,0
2023-08-27,6614389.61758511,0.33973287,0.52117291,0
2023-08-28,6143844.98951479,0.31555248,0.52113448,0
2023-08-29,13996635.0976648,0.7188412,0.52117142,1
2023-08-30,5532276.87656707,0.28411598,0.52112714,0
2023-08-31,6442776.65596767,0.33086038,0.5210916,0
2023-09-01,6333374.49880704,0.32522641,0.52105502,0
2023-09-02,2024249.76784191,0.10394259,0.52097714,0
