timestamp,open,high,low,close,volume,netflow_total,exchange_whale_ratio,funding_rates,average_dormancy,sa_average_dormancy
2025-03-01 00:00:00,84297.7400000000,84574.1200000000,83772.5400000000,83811.7400000000,180.0040675500,-14.9266590000,0.9987034100,-0.0002172800,7.6753029900,0.0000003900
2025-03-01 01:00:00,83811.7400000000,84806.7200000000,83787.6800000000,84600.0100000000,246.5264354800,-140.9860792500,0.9610730900,0.0013125500,7.6753029900,0.0000003900
2025-03-01 02:00:00,84604.5800000000,85632.3700000000,84304.5100000000,85195.7100000000,479.1130517000,228.2234261400,0.9612401700,0.0022585700,7.6753029900,0.0000003900
2025-03-01 03:00:00,85204.0700000000,85476.4700000000,84913.9600000000,85302.9900000000,284.7192762000,-242.8576703200,0.9993167800,-0.0005305000,7.6753029900,0.0000003900
2025-03-01 04:00:00,85294.4700000000,86534.9600000000,85279.8000000000,86154.1600000000,486.0312586400,-139.5885191000,0.9992857500,-0.0021118700,7.6753029900,0.0000003900
2025-03-01 05:00:00,86154.1600000000,86250.0000000000,85537.5400000000,85562.6800000000,248.8612363000,-169.8297550000,0.9990828000,-0.0040906300,7.6753029900,0.0000003900
2025-03-01 06:00:00,85568.3200000000,85637.7800000000,84807.8800000000,85029.0600000000,275.0709185000,-175.9076337100,0.9995292400,-0.0058799200,7.6753029900,0.0000003900
2025-03-01 07:00:00,85029.0600000000,85029.0600000000,84688.5300000000,84691.3400000000,914.9073934700,271.8399711900,0.9865124700,-0.0065927200,7.6753029900,0.0000003900
2025-03-01 08:00:00,84694.2200000000,85309.0400000000,84694.2200000000,85279.4300000000,146.4345737000,195.3210234700,0.9926771200,-0.0056525500,7.6753029900,0.0000003900
2025-03-01 09:00:00,85279.4300000000,85482.7900000000,85090.6000000000,85353.7500000000,156.4653338300,-6.8410290200,0.9996621500,-0.0054245000,7.6753029900,0.0000003900
2025-03-01 10:00:00,85353.7500000000,85414.4300000000,84767.3400000000,84864.9500000000,160.6287718700,-397.6611798200,0.9990194700,-0.0039614200,7.6753029900,0.0000003900
2025-03-01 11:00:00,84864.9400000000,84937.8000000000,84342.2500000000,84601.3400000000,213.4878271200,-1257.1847061100,0.9971546600,-0.0027915200,7.6753029900,0.0000003900
2025-03-01 12:00:00,84602.5700000000,84909.7700000000,84433.8100000000,84730.3400000000,108.6070407900,1725.2717173700,0.9778455000,-0.0022937500,7.6753029900,0.0000003900
2025-03-01 13:00:00,84730.3400000000,84916.9500000000,84300.4100000000,84494.9500000000,153.1742856800,-967.5850161000,0.9960899700,-0.0020863000,7.6753029900,0.0000003900
2025-03-01 14:00:00,84494.9500000000,84821.9300000000,84371.2400000000,84675.1700000000,148.5209308600,318.1346693900,0.9858576200,-0.0014486000,7.6753029900,0.0000003900
2025-03-01 15:00:00,84671.9400000000,84849.9900000000,84500.6300000000,84750.0500000000,315.1368160900,-46.4531813200,0.9986401900,-0.0009731300,7.6753029900,0.0000003900
2025-03-01 16:00:00,84750.0600000000,85239.6200000000,84654.4500000000,85225.4200000000,404.1178109200,-87.4409488500,0.9877155700,-0.0014006200,7.6753029900,0.0000003900
2025-03-01 17:00:00,85225.4100000000,85332.9200000000,84910.8000000000,85164.0600000000,336.9520733000,-270.4641229200,0.9976053600,-0.0024978800,7.6753029900,0.0000003900
2025-03-01 18:00:00,85164.0500000000,85297.9800000000,85023.6800000000,85269.3400000000,252.9705190300,213.0823616600,0.9786458100,-0.0026542700,7.6753029900,0.0000003900
