timestamp,cdd,sa_cdd,average_sa_cdd,binary_cdd
2025-01-01,24234763.89402756,1.22370957,0.54279498,1
2025-01-02,11062616.28118466,0.55858075,0.54279768,1
2025-01-03,6275884.87076968,0.31687892,0.54275903,0
2025-01-04,5537567.74785337,0.2795936,0.54271401,0
2025-01-05,4427835.5828444,0.22355736,0.54265943,0
2025-01-06,9588023.60308167,0.48408037,0.54264941,0
2025-01-07,33087488.84212122,1.67048662,0.54284224,1
2025-01-08,9909213.67680398,0.50027618,0.54283496,0
2025-01-09,7056767.3259802,0.35625914,0.54280307,0
2025-01-10,9755145.382996,0.49247505,0.54279447,0
2025-01-11,5185041.21461528,0.26175395,0.54274645,0
2025-01-12,4309409.54259811,0.21754395,0.5426909,0
2025-01-13,6648990.78665931,0.33564193,0.54265554,0
2025-01-14,6829019.25686684,0.34472141,0.54262174,0
2025-01-15,19967219.14987671,1.00790126,0.54270118,1
2025-01-16,11638917.90820985,0.58749509,0.54270883,1
2025-01-17,14352553.91920363,0.72445355,0.54273985,1
2025-01-18,14070313.02140561,0.71019271,0.54276843,1
2025-01-19,10137131.29519094,0.51165503,0.54276312,0
2025-01-20,14485618.66827445,0.73112025,0.54279525,1
2025-01-21,17533565.07124153,0.88493808,0.54285361,1
2025-01-22,27573357.22034539,1.39162438,0.54299835,1
2025-01-23,99334753.39654288,5.0133068,0.54376055,1
2025-01-24,8115801.48195478,0.4095858,0.54373768,0
2025-01-25,5962022.24166387,0.30088345,0.54369629,0
2025-01-26,4818686.42399826,0.24317784,0.54364508,0
2025-01-27,12073311.46066074,0.60927185,0.54365626,1
2025-01-28,9191048.40838077,0.46380949,0.54364266,0
2025-01-29,6304993.86853185,0.31816218,0.54360425,0
2025-01-30,7401128.19043784,0.3734667,0.54357528,0
2025-01-31,7346243.58985458,0.37068987,0.54354584,0
2025-02-01,6029709.77852439,0.30424903,0.5435051,0
2025-02-02,6092203.00088847,0.30739405,0.54346491,0
2025-02-03,13228556.21001153,0.66745664,0.54348601,1
2025-02-04,26065566.35930774,1.31513037,0.54361731,1
2025-02-05,36167802.42443925,1.82479424,0.54383527,1
2025-02-06,23534337.42991947,1.18736386,0.54394473,1
2025-02-07,7642645.07698638,0.38557929,0.5439178,0
2025-02-08,4985508.05188269,0.25151765,0.54386808,0
2025-02-09,39994453.89355941,2.01766486,0.54411864,1
2025-02-10,7864320.93310487,0.39673542,0.54409359,0
2025-02-11,24076364.13487552,1.2145689,0.54420754,1
2025-02-12,7908055.74265013,0.39892557,0.54418285,0
2025-02-13,6088954.61985661,0.30715251,0.54414258,0
2025-02-14,8330284.7194341,0.42020457,0.54412153,0
2025-02-15,4325886.8626297,0.21820522,0.54406618,0
2025-02-16,2815491.76770895,0.14201489,0.54399791,0
2025-02-17,5102797.63778761,0.25738226,0.54394925,0
2025-02-18,8072914.30353105,0.40718429,0.54392603,0
2025-02-19,5146425.73081405,0.25957195,0.54387777,0
2025-02-20,6174484.2683584,0.31141809,0.54383832,0
2025-02-21,7607321.31571598,0.38367728,0.54381115,0
2025-02-22,5202350.61580988,0.26237619,0.54376341,0
2025-02-23,3369176.25583215,0.16991812,0.5437,0
2025-02-24,8339984.18661824,0.42060294,0.54367913,0
2025-02-25,27124797.50025482,1.3679291,0.54381888,1
2025-02-26,26020694.34595442,1.31221546,0.54394914,1
2025-02-27,15087063.53769198,0.7608179,0.5439859,1
2025-02-28,15206092.97131692,0.76680165,0.54402366,1
2025-03-01,4500882.95057282,0.22696202,0.54396994,0
2025-03-02,6653903.01337718,0.33552379,0.54393463,0
2025-03-03,17312462.28235092,0.87296217,0.54399036,1
2025-03-04,9814594.98151248,0.49487894,0.54398204,0
2025-03-05,7013128.3361257,0.3536138,0.54394981,0
2025-03-06,16665955.71674994,0.84030319,0.54399998,1
2025-03-07,12421976.20032081,0.62630628,0.54401391,1
2025-03-08,2358075.52407377,0.11888975,0.54394196,0
2025-03-09,4456419.53364762,0.22467869,0.54388794,0
2025-03-10,25782670.0381523,1.2998498,0.54401583,1
2025-03-11,17105626.8021856,0.86237237,0.54406968,1
2025-03-12,15890468.68289404,0.80109142,0.54411315,1
2025-03-13,10627143.19204827,0.53573624,0.54411173,0
2025-03-14,12056890.50987285,0.60779916,0.5441225,1
2025-03-15,1978898.26979358,0.09975604,0.54404739,0
2025-03-16,4044567.00505849,0.20388152,0.5439899,0
2025-03-17,7274867.66032585,0.36670881,0.54395994,0
2025-03-18,6396552.16311227,0.3224278,0.54392251,0
2025-03-19,8086715.23395809,0.40761324,0.54389948,0
2025-03-20,15687130.5351942,0.79069671,0.54394116,1
2025-03-21,4350097.27520986,0.21925801,0.54388633,0
2025-03-22,9986180.64224491,0.50332171,0.54387948,0
2025-03-23,2802183.63557555,0.14123169,0.54381151,0
2025-03-24,5869401.34764104,0.29581408,0.54376965,0
2025-03-25,8008749.34590131,0.40362638,0.543746,0
2025-03-26,8601172.71723455,0.43347314,0.54372739,0
2025-03-27,6282990.6200227,0.31663633,0.54368908,0
2025-03-28,28180803.55550734,1.42015964,0.54383691,1
2025-03-29,3014211.15419942,0.15189652,0.54377082,0
2025-03-30,4297630.10899255,0.21656777,0.54371565,0
2025-03-31,9639564.6066096,0.48574918,0.54370588,0
2025-04-01,6316315.92319259,0.31827994,0.54366788,0
2025-04-02,16573119.40121418,0.83509892,0.54371699,1
2025-04-03,37601933.59956008,1.89466943,0.54394461,1
2025-04-04,10112546.57127419,0.50953204,0.54393881,0
2025-04-05,4939915.28518949,0.24889676,0.54388911,0
2025-04-06,5160096.80212359,0.25998463,0.5438413,0
2025-04-07,30874068.34675369,1.55551347,0.54401164,1
2025-04-08,8130117.13597683,0.40960595,0.54398901,0
2025-04-09,14712874.3708953,0.74123871,0.54402221,1
2025-04-10,24329569.80544274,1.22570253,0.54413693,1
2025-04-11,18815492.53084946,0.94788603,0.54420487,1
