timestamp,actual_close,predicted_close,deepPredictor,open,high,low,close,volume,netflow_total,exchange_whale_ratio,funding_rates,average_dormancy,sa_average_dormancy,log_return,prob_bullish,prob_bearish,marketRegime
2024-03-02,61987.28,60735.650177367934,buy,62387.9,62433.19,61561.12,61987.28,25534.73659,456.76493151,0.31963074,0.05652118,10.58262814,5.4e-07,-0.006442143609634661,0.0040627045102795524,0.006153800387976412,hold
2024-03-03,63113.97000000001,61960.27472422243,buy,61987.28,63231.88,61320.0,63113.97,28994.90903,-135.80290764,0.29874171,0.04789808,11.76617878,6e-07,0.018012936948412033,0.0035565874744326593,0.0031752372870659036,hold
2024-03-04,68245.71000000002,62872.326425210245,buy,63113.97,68499.0,62300.0,68245.71,84835.16005,-540.14326156,0.21602022,0.06250599,23.00829145,1.17e-06,0.07817243529189463,0.002567749321763587,0.040805077073376765,hold
2024-03-05,63724.01000000001,64428.59968724728,buy,68245.71,69000.0,59005.0,63724.01,132696.7813,4875.49776884,0.20249951,0.07887387,27.16508631,1.38e-06,-0.06855316030923639,0.001062313424334749,0.1094090389528464,hold
2024-03-06,66074.04,65427.071090455065,sell,63724.01,67641.1,62779.14,66074.04,78738.85491,2643.80200309,0.19411036,0.03840476,48.85195369,2.49e-06,0.03621451680304252,0.0025342085472378406,0.03362612124021099,hold
2024-03-07,66823.17,66234.89483224154,sell,66074.04,67980.0,65551.0,66823.17,53059.8869,-79.23630276,0.30760834,0.04437566,26.9912751,1.37e-06,0.011273945248864211,0.0007791909058072274,0.0038206037815410876,hold
2024-03-08,68124.19,66880.58756381036,sell,66823.18,69990.0,66082.66,68124.19,74261.932842,-3674.63287351,0.30547793,0.0435441,24.85513029,1.26e-06,0.019282486315176334,5.2818292740444856e-05,0.008763049072048362,hold
2024-03-09,68313.27000000002,67630.88452880146,buy,68124.2,68541.1,67861.1,68313.27,19872.89743,-792.03491579,0.31187146,0.02901882,15.38749117,7.8e-07,0.0027716745979517753,4.665581110894289e-05,0.002980227399490145,hold
2024-03-10,68955.88000000002,68241.2938416195,buy,68313.28,69887.61,68094.75,68955.88,38404.66835,1276.72736655,0.40753692,0.05454584,28.23307929,1.44e-06,0.009362842188647231,1.8611707234192784e-06,0.03814101664936947,hold
2024-03-11,72078.10000000002,69020.16297368289,sell,68955.88,72800.0,67024.96,72078.1,75292.825726,6175.24856579,0.27836155,0.06374805,20.57079542,1.05e-06,0.044283373561153284,0.00030120319755157747,0.401629987057463,sell
2024-03-12,71452.01000000001,70185.24366718055,buy,72078.1,73000.0,68620.82,71452.01,68783.546691,1235.96093564,0.28373736,0.04747114,15.18255531,7.7e-07,-0.008724217811494954,0.001986179776929405,0.01057388003879616,hold
2024-03-13,73072.41000000002,71205.6068279314,buy,71452.0,73650.25,71333.31,73072.41,52659.711647,-3233.15442215,0.25346654,0.04780733,20.2069578,1.03e-06,0.022424831790492365,0.0015018432686188324,0.0067421132729662886,hold
2024-03-14,71388.94,72410.52940984012,buy,73072.4,73777.0,68555.0,71388.94,71757.628746,-2334.56326045,0.35745647,0.03741991,29.3477389,1.49e-06,-0.02330791194500903,0.00012001390625606762,0.03336297321796697,hold
2024-03-15,69499.85,73191.35393416644,sell,71388.94,72419.71,65600.0,69499.85,103334.03546,-4530.43710399,0.36265929,0.02007064,14.59878427,7.4e-07,-0.02681836109117046,2.268359415176357e-06,0.15054276443672385,hold
2024-03-16,65300.63,73204.91831140996,sell,69499.84,70043.0,64780.0,65300.63,55926.95336,2118.68911364,0.27043975,0.0197725,11.55128105,5.9e-07,-0.062322910279710986,0.00012689458414724675,0.021784111024479146,hold
2024-03-17,68393.48,72288.96199432612,sell,65300.64,68904.4,64533.0,68393.48,49742.21589,495.83767747,0.29775365,0.01995308,53.98408368,2.75e-06,0.046275814432356635,0.00010661032070559184,0.005297168755761399,hold
2024-03-18,67609.99,71760.1671768737,sell,68393.47,68956.0,66565.2,67609.99,55691.08088,-1732.62339558,0.32180547,0.02847769,17.31236562,8.8e-07,-0.01152174525222046,9.883741600676943e-05,0.013112014354975917,hold
2024-03-19,61937.4,71087.05577461483,sell,67610.0,68124.11,61555.0,61937.4,101005.32487,5452.62095411,0.33091854,0.02317695,11.98202275,6.1e-07,-0.08763155563733493,1.0524538588860473e-06,0.2203502414063422,hold
2024-03-20,67840.51,69487.56957725287,sell,61937.41,68100.0,60775.0,67840.51,90420.58592,-1908.65554963,0.27280591,0.01700925,13.0750508,6.7e-07,0.09103531158594273,3.203638715962238e-05,0.09245527799398057,hold
2024-03-21,65501.27,68589.32282227279,sell,67840.51,68240.47,64529.01,65501.27,53357.48002,1088.50414533,0.38055222,0.01915549,29.26297907,1.49e-06,-0.03508997737785613,4.476960453954704e-06,0.015796332212926287,hold
2024-03-22,63796.64000000001,67802.49641570092,sell,65501.28,66649.62,62260.0,63796.64,51482.37821,-2128.7048351,0.35232131,0.0112868,42.82515031,2.18e-06,-0.026369007379098856,3.6070670663670655e-06,0.014263093038705465,hold
2024-03-23,63990.01,67018.27000231147,sell,63796.64,65999.0,63000.0,63990.01,26410.11409,-924.19045096,0.42828922,0.0114912,227.68402914,1.158e-05,0.003026453038660462,3.096486928498604e-08,0.018828538716756625,hold
2024-03-24,67209.99,67028.60212231279,sell,63990.02,67628.69,63772.29,67209.99,31395.78015,-591.10149603,0.39005445,0.01620251,23.49854321,1.2e-06,0.04909491976870599,4.98257284554765e-08,0.012285307957443738,hold
2024-03-25,69880.01,67248.11803543926,sell,67210.0,71150.0,66385.06,69880.01,53431.14486,-625.11780355,0.31542654,0.02468944,56.05822837,2.85e-06,0.038957731173826136,3.755546628839726e-06,0.0034537668518770767,hold
2024-03-26,69988.0,68607.18659512282,buy,69880.0,71561.1,69280.0,69988.0,38934.38417,3781.4192653,0.3020676,0.0258169,22.24524419,1.13e-06,0.0015441704140665396,5.09052024079639e-06,0.007120697828994549,hold
2024-03-27,69469.99000000002,70137.1299143386,sell,69987.99,71769.54,68359.18,69469.99,49119.35685,2286.54620874,0.29777244,0.03279905,12.10925252,6.2e-07,-0.007428938024621631,5.677904819515746e-06,0.0027101881780457297,hold
2024-03-28,70780.60000000002,71499.35362589122,sell,69469.99,71552.06,68903.62,70780.6,35439.03239,-1913.65650724,0.30838534,0.0271968,42.21307011,2.15e-06,0.01869009109453202,9.0743418725598e-07,0.0027408192727951747,hold
