,timestamp,actual_close,predicted_close,deepPredictor
61,2024-03-02,61987.28,27209.711930915415,buy
62,2024-03-03,63113.97000000001,4091.660509645342,buy
63,2024-03-04,68245.71000000002,21855.664404209554,buy
64,2024-03-05,63724.01000000001,30507.433948078753,buy
65,2024-03-06,66074.04,5724.5803678563225,buy
66,2024-03-07,66823.17,-1949.7120238047853,buy
67,2024-03-08,68124.19,16631.643619887047,buy
68,2024-03-09,68313.27000000002,26757.446509469748,buy
69,2024-03-10,68955.88000000002,33818.10118633926,buy
70,2024-03-11,72078.10000000002,7456.178140509724,buy
71,2024-03-12,71452.01000000001,-1085.9020705783382,buy
72,2024-03-13,73072.41000000002,-5019.929240130188,buy
73,2024-03-14,71388.94,13420.31653484255,buy
74,2024-03-15,69499.85,24350.83668710947,buy
75,2024-03-16,65300.63,32327.91956594646,buy
76,2024-03-17,68393.48,6934.655130798517,buy
77,2024-03-18,67609.99,-982.0334224158539,buy
78,2024-03-19,61937.4,17545.15405815303,buy
79,2024-03-20,67840.51,221.13578330755098,buy
80,2024-03-21,65501.27,18546.995737220943,buy
81,2024-03-22,63796.64000000001,925.6244461137044,buy
82,2024-03-23,63990.01,19154.71175935507,buy
83,2024-03-24,67209.99,28892.210544058085,buy
84,2024-03-25,69880.01,35499.56273221314,buy
85,2024-03-26,69988.0,39648.814129822254,buy
86,2024-03-27,69469.99000000002,10493.384233430921,buy
87,2024-03-28,70780.60000000002,106.2765352570997,buy
88,2024-03-29,69850.54,18500.00926493436,buy
89,2024-03-30,69582.18,85.73412174403532,buy
90,2024-03-31,71280.01,-4544.7134043681635,buy
91,2024-04-01,69649.8,-6566.928267885448,buy
92,2024-04-02,65463.99,11528.371199252308,buy
93,2024-04-03,65963.28,22929.204827656748,buy
94,2024-04-04,68487.79000000001,31484.52557342112,buy
95,2024-04-05,67820.62000000001,37286.236101849674,buy
96,2024-04-06,68896.00000000001,9433.303323919772,buy
97,2024-04-07,69360.39,26162.979503602983,buy
98,2024-04-08,71620.0,3842.55232535988,buy
99,2024-04-09,69146.0,-2820.2378550320877,buy
100,2024-04-10,70631.08000000002,-5814.156220416428,buy
101,2024-04-11,70006.23,12519.721921250224,buy
102,2024-04-12,67116.52,23688.882432344555,buy
103,2024-04-13,63924.509999999995,3067.297122135757,buy
104,2024-04-14,65661.84,-2397.5708731752648,buy
105,2024-04-15,63419.990000000005,-5021.196852464677,buy
106,2024-04-16,63793.38999999999,12990.794885313213,buy
107,2024-04-17,61277.37000000001,-1158.7543113398567,buy
108,2024-04-18,63470.08,17078.310420188718,buy
109,2024-04-19,63818.01,27453.180628209113,buy
110,2024-04-20,64940.59,5227.387958640753,buy
111,2024-04-21,64941.15,23006.46209838599,buy
112,2024-04-22,66819.32,31642.497519811393,buy
113,2024-04-23,66414.0,37286.539897019866,buy
114,2024-04-24,64289.590000000004,40722.24120837093,buy
