timestamp,actual_close,actual_high,actual_low,predicted_close,predicted_high,predicted_low,deepPredictor,open,high,low,close,volume,netflow_total,exchange_whale_ratio,funding_rates,average_dormancy,sa_average_dormancy,log_return,prob_bullish,prob_bearish,marketRegime
2024-03-02,61987.28,62433.19,61561.12,57958.10799431563,59170.48791766167,57110.41242518425,sell,62387.9,62433.19,61561.12,61987.28,25534.73659,456.76493151,0.31963074,0.05652118,10.58262814,5.4e-07,-0.006442143609634661,0.9999846923129307,1.5307687088488844e-05,buy
2024-03-03,63113.97000000001,63231.88,61320.0,59674.24228438497,60954.18366283178,58805.575045156475,sell,61987.28,63231.88,61320.0,63113.97,28994.90903,-135.80290764,0.29874171,0.04789808,11.76617878,6e-07,0.018012936948412033,0.9999754806421656,2.4519348504611092e-05,buy
2024-03-04,68245.71000000002,68499.0,62300.0,61077.88391817571,62440.89772641659,60177.02293395996,sell,63113.97,68499.0,62300.0,68245.71,84835.16005,-540.14326156,0.21602022,0.06250599,23.00829145,1.17e-06,0.07817243529189463,0.9999920303521713,7.969647813132379e-06,buy
2024-03-05,63724.01000000001,69000.0,59005.0,62510.066876889476,63944.519007503986,61614.249433517456,sell,68245.71,69000.0,59005.0,63724.01,132696.7813,4875.49776884,0.20249951,0.07887387,27.16508631,1.38e-06,-0.06855316030923639,0.9999965636478049,3.4363522061503957e-06,buy
2024-03-06,66074.04,67641.1,62779.13999999999,63383.88356544257,64944.626142680645,62524.2700621128,sell,63724.01,67641.1,62779.14,66074.04,78738.85491,2643.80200309,0.19411036,0.03840476,48.85195369,2.49e-06,0.03621451680304252,0.9999637742602903,3.6209007257518674e-05,buy
2024-03-07,66823.17,67980.0,65551.0,64161.20750582815,65789.99015808105,63271.527421140665,sell,66074.04,67980.0,65551.0,66823.17,53059.8869,-79.23630276,0.30760834,0.04437566,26.9912751,1.37e-06,0.011273945248864211,0.9999634676431507,3.6532051385208224e-05,buy
2024-03-08,68124.19,69990.00000000001,66082.66,65027.3938466549,66701.88080847263,64113.388983440396,sell,66823.18,69990.0,66082.66,68124.19,74261.932842,-3674.63287351,0.30547793,0.0435441,24.85513029,1.26e-06,0.019282486315176334,0.9999111280429609,8.887141993024595e-05,buy
2024-03-09,68313.27000000002,68541.1,67861.1,65876.77430035116,67590.947971344,64947.46188879013,sell,68124.2,68541.1,67861.1,68313.27,19872.89743,-792.03491579,0.31187146,0.02901882,15.38749117,7.8e-07,0.0027716745979517753,0.9998428483350924,0.00012797187627360302,buy
2024-03-10,68955.88000000002,69887.61000000002,68094.75,66767.1994862795,68511.1446377635,65807.71375565529,sell,68313.28,69887.61,68094.75,68955.88,38404.66835,1276.72736655,0.40753692,0.05454584,28.23307929,1.44e-06,0.009362842188647231,0.9999042686666164,9.573133339001837e-05,buy
2024-03-11,72078.10000000002,72800.0,67024.96,67539.57943013907,69314.98171329498,66553.57671823501,sell,68955.88,72800.0,67024.96,72078.1,75292.825726,6175.24856579,0.27836155,0.06374805,20.57079542,1.05e-06,0.044283373561153284,0.9999839509224364,1.6049077536956105e-05,buy
2024-03-12,71452.01000000001,73000.0,68620.82,68251.9590568328,70064.40103769302,67259.93379793166,sell,72078.1,73000.0,68620.82,71452.01,68783.546691,1235.96093564,0.28373736,0.04747114,15.18255531,7.7e-07,-0.008724217811494954,0.9999774764272856,2.252355930526798e-05,buy
2024-03-13,73072.41000000002,73650.25000000001,71333.31,68984.87955493212,70840.47497987747,67996.47759466172,sell,71452.0,73650.25,71333.31,73072.41,52659.711647,-3233.15442215,0.25346654,0.04780733,20.2069578,1.03e-06,0.022424831790492365,0.9999143253838406,8.567459851729022e-05,buy
2024-03-14,71388.94,73777.00000000001,68555.0,69846.92379511357,71723.24275970459,68842.92765893936,sell,73072.4,73777.0,68555.0,71388.94,71757.628746,-2334.56326045,0.35745647,0.03741991,29.3477389,1.49e-06,-0.02330791194500903,0.9916505011358431,0.008313890699529968,buy
2024-03-15,69499.85,72419.71000000002,65600.0,70353.42590708256,72283.75595927238,69341.74652194977,sell,71388.94,72419.71,65600.0,69499.85,103334.03546,-4530.43710399,0.36265929,0.02007064,14.59878427,7.4e-07,-0.02681836109117046,0.8921411723483065,0.015204712735590655,buy
2024-03-16,65300.63,70043.0,64780.0,70235.65207592727,72240.45790672302,69186.98968925475,buy,69499.84,70043.0,64780.0,65300.63,55926.95336,2118.68911364,0.27043975,0.0197725,11.55128105,5.9e-07,-0.062322910279710986,0.874065012545791,0.002602305776342259,buy
2024-03-17,68393.48,68904.4,64533.0,69617.06342512608,71670.13450145721,68493.55421829224,buy,65300.64,68904.4,64533.0,68393.48,49742.21589,495.83767747,0.29775365,0.01995308,53.98408368,2.75e-06,0.046275814432356635,0.8632775387137913,0.001046317788114469,buy
2024-03-18,67609.99,68956.0,66565.2,68849.07540332079,70900.81842184067,67621.46056814193,buy,68393.47,68956.0,66565.2,67609.99,55691.08088,-1732.62339558,0.32180547,0.02847769,17.31236562,8.8e-07,-0.01152174525222046,0.8581777396890213,0.02152218175228229,buy
2024-03-19,61937.4,68124.11,61555.0,68252.01457270146,70282.80686557293,66953.48115034103,buy,67610.0,68124.11,61555.0,61937.4,101005.32487,5452.62095411,0.33091854,0.02317695,11.98202275,6.1e-07,-0.08763155563733493,0.6190461914593277,0.2889058579010682,buy
2024-03-20,67840.51,68100.0,60775.0,67088.98179791452,69130.37775933743,65731.47565917969,buy,61937.41,68100.0,60775.0,67840.51,90420.58592,-1908.65554963,0.27280591,0.01700925,13.0750508,6.7e-07,0.09103531158594273,0.30386696033204863,0.07444190909890509,hold
2024-03-21,65501.27,68240.47,64529.01000000001,66042.63412641406,68038.61868321896,64591.80005288124,sell,67840.51,68240.47,64529.01,65501.27,53357.48002,1088.50414533,0.38055222,0.01915549,29.26297907,1.49e-06,-0.03508997737785613,0.03685803169061547,0.014157276102362618,hold
2024-03-22,63796.64000000001,66649.62,62260.0,65522.08033124328,67459.65953350067,64028.9780904293,buy,65501.28,66649.62,62260.0,63796.64,51482.37821,-2128.7048351,0.35232131,0.0112868,42.82515031,2.18e-06,-0.026369007379098856,0.0015798567550273062,0.0005075095772034777,hold
2024-03-23,63990.01,65999.0,63000.0,64937.41187619568,66827.16190844774,63389.648831319806,buy,63796.64,65999.0,63000.0,63990.01,26410.11409,-924.19045096,0.42828922,0.0114912,227.68402914,1.158e-05,0.003026453038660462,0.0013376050430965911,0.0007396961779897661,hold
2024-03-24,67209.99,67628.69,63772.29,64486.17889569641,66316.7642891407,62876.65310029983,buy,63990.02,67628.69,63772.29,67209.99,31395.78015,-591.10149603,0.39005445,0.01620251,23.49854321,1.2e-06,0.04909491976870599,0.03901637966675118,0.007789568184074202,hold
2024-03-25,69880.01,71150.0,66385.06,64396.63796797157,66164.34810996056,62751.78656196594,sell,67210.0,71150.0,66385.06,69880.01,53431.14486,-625.11780355,0.31542654,0.02468944,56.05822837,2.85e-06,0.038957731173826136,0.5585357051038383,0.01539185850792759,buy
2024-03-26,69988.0,71561.1,69280.0,64908.38632952929,66621.80704563856,63282.61907358169,sell,69880.0,71561.1,69280.0,69988.0,38934.38417,3781.4192653,0.3020676,0.0258169,22.24524419,1.13e-06,0.0015441704140665396,0.8937328936214489,0.008765810007619756,buy
2024-03-27,69469.99000000002,71769.54,68359.18,65887.97000053168,67571.1485645175,64302.98757901191,sell,69987.99,71769.54,68359.18,69469.99,49119.35685,2286.54620874,0.29777244,0.03279905,12.10925252,6.2e-07,-0.007428938024621631,0.9974378454283802,0.0014919916058154213,buy
2024-03-28,70780.60000000002,71552.06,68903.62,66839.4996525693,68532.81250566244,65292.77615365982,sell,69469.99,71552.06,68903.62,70780.6,35439.03239,-1913.65650724,0.30838534,0.0271968,42.21307011,2.15e-06,0.01869009109453202,0.999298672889933,0.00024159735262104225,buy
2024-03-29,69850.54,70916.16,69009.0,67770.66731766702,69489.41747069359,66245.46047401428,sell,70780.6,70916.16,69009.0,69850.54,25445.08353,1429.16107749,0.30383076,0.02542674,9.65666031,4.9e-07,-0.01322713532737063,0.9995242230110262,0.0001496578071691987,buy
2024-03-30,69582.18,70321.1,69540.0,68537.08238986017,70302.68477916718,67032.32958116531,sell,69850.53,70321.1,69540.0,69582.18,13644.61142,1105.62833054,0.25915179,0.03188589,11.11624325,5.7e-07,-0.0038493164497219014,0.9999182918880827,7.155253167157025e-05,buy
2024-03-31,71280.01,71366.0,69562.99,69096.63916698219,70906.49603128433,67596.04686107635,sell,69582.17,71366.0,69562.99,71280.01,19396.34433,391.7888994,0.35393824,0.04482617,17.79196247,9e-07,0.024107423379159526,0.9990329189642516,0.0009670773048638465,buy
2024-04-01,69649.8,71288.23000000001,68062.86,69557.12479225875,71402.62112021446,68066.69347133636,sell,71280.0,71288.23,68062.86,69649.8,41445.32039,-1013.44482895,0.35538231,0.03517021,57.47011796,2.92e-06,-0.02313609473301786,0.9332633815419217,0.0647827025776585,buy
2024-04-02,65463.99,69674.23000000001,64550.0,69716.08522953272,71615.01646995544,68252.06653146744,buy,69649.81,69674.23,64550.0,65463.99,71799.82793,-1992.73732001,0.35892863,0.01275318,24.85542918,1.26e-06,-0.06197960825197718,0.050732833764946604,0.035512062302078345,hold
2024-04-03,65963.28,66903.63,64493.07000000001,69172.40599084855,71140.87327599525,67714.01703519821,buy,65463.99,66903.63,64493.07,65963.28,39887.21778,-2036.69593024,0.41416782,0.01,11.02347549,5.6e-07,0.007598003093028574,0.0004897501185832972,0.0011060461388017026,hold
2024-04-04,68487.79000000001,69309.91000000002,65064.51999999999,68339.72964519025,70330.31288087368,66833.59330301285,buy,65963.27,69309.91,65064.52,68487.79,41510.48453,-3947.34901381,0.27058517,0.01,11.09246958,5.6e-07,0.03755725764251874,2.973206018230877e-05,0.0003042389138242538,hold
