,timestamp,actual_close,predicted_close,deepPredictor
61,2024-03-02,61987.28,60735.650177367934,buy
62,2024-03-03,63113.97000000001,61960.27472422243,buy
63,2024-03-04,68245.71000000002,62872.326425210245,buy
64,2024-03-05,63724.01000000001,64428.59968724728,buy
65,2024-03-06,66074.04,65427.071090455065,sell
66,2024-03-07,66823.17,66234.89483224154,sell
67,2024-03-08,68124.19,66880.58756381036,sell
68,2024-03-09,68313.27000000002,67630.88452880146,buy
69,2024-03-10,68955.88000000002,68241.2938416195,buy
70,2024-03-11,72078.10000000002,69020.16297368289,sell
71,2024-03-12,71452.01000000001,70185.24366718055,buy
72,2024-03-13,73072.41000000002,71205.6068279314,buy
73,2024-03-14,71388.94,72410.52940984012,buy
74,2024-03-15,69499.85,73191.35393416644,sell
75,2024-03-16,65300.63,73204.91831140996,sell
76,2024-03-17,68393.48,72288.96199432612,sell
77,2024-03-18,67609.99,71760.1671768737,sell
78,2024-03-19,61937.4,71087.05577461483,sell
79,2024-03-20,67840.51,69487.56957725287,sell
80,2024-03-21,65501.27,68589.32282227279,sell
81,2024-03-22,63796.64000000001,67802.49641570092,sell
82,2024-03-23,63990.01,67018.27000231147,sell
83,2024-03-24,67209.99,67028.60212231279,sell
84,2024-03-25,69880.01,67248.11803543926,sell
85,2024-03-26,69988.0,68607.18659512282,buy
86,2024-03-27,69469.99000000002,70137.1299143386,sell
87,2024-03-28,70780.60000000002,71499.35362589122,sell
88,2024-03-29,69850.54,72866.95620827438,sell
89,2024-03-30,69582.18,73532.15968346359,sell
90,2024-03-31,71280.01,73747.62293817759,sell
91,2024-04-01,69649.8,73826.3506083727,sell
92,2024-04-02,65463.99,73583.67224115372,sell
93,2024-04-03,65963.28,72154.88500307323,sell
94,2024-04-04,68487.79000000001,70362.09871945382,sell
95,2024-04-05,67820.62000000001,69133.90265171528,sell
96,2024-04-06,68896.00000000001,67945.17219816685,sell
97,2024-04-07,69360.39,67342.85586531402,buy
98,2024-04-08,71620.0,67233.15342461945,buy
99,2024-04-09,69146.0,67841.6844505477,buy
100,2024-04-10,70631.08000000002,68237.39539395334,buy
101,2024-04-11,70006.23,68665.82368929149,buy
102,2024-04-12,67116.52,69055.06394978285,buy
103,2024-04-13,63924.509999999995,69032.62937041283,sell
104,2024-04-14,65661.84,68234.2433262992,sell
105,2024-04-15,63419.990000000005,67356.87670636654,sell
106,2024-04-16,63793.38999999999,66162.16596007705,sell
107,2024-04-17,61277.37000000001,65098.08713696838,sell
108,2024-04-18,63470.08,63778.86046569586,sell
109,2024-04-19,63818.01,62599.59546775461,buy
110,2024-04-20,64940.59,62101.01670392991,buy
111,2024-04-21,64941.15,62083.593973814255,buy
112,2024-04-22,66819.32,62402.893492434036,buy
113,2024-04-23,66414.0,63265.79822857977,buy
114,2024-04-24,64289.590000000004,64118.60216084362,buy
115,2024-04-25,64498.34,64902.95502704502,sell
116,2024-04-26,63770.01000000001,65545.67765964032,sell
117,2024-04-27,63461.98000000001,65918.63634953857,sell
118,2024-04-28,63118.62000000001,66026.44508226872,sell
