datetime,close,premium_index,price_change,z_score,position,trade,pnl,equity,drawdown
0,42576.73,,0,-0.023609046,0,,0,1000000,0
1,42590.03,,13.299999999995634,0.032128772798691425,0,,0,1000000,0
2,42637.17,,47.13999999999942,0.17394590024237394,0,,0,1000000,0
3,42591.94,,-45.23,-0.213159539,0,,0,1000000,0
4,42533.28,,-58.66,-0.269442164,0,,0,1000000,0
5,42492.24,,-41.04,-0.195600031,0,,0,1000000,0
6,42248.8,,-243.44,-1.043820675,0,,0,1000000,0
7,42288.06,,39.25999999999476,0.14092229018750532,0,,0,1000000,0
8,42452.66,,164.60000000000582,0.6661988491056715,0,,0,1000000,0
9,42594.68,,142.0199999999968,0.5715702812073479,0,,0,1000000,0
10,42571.32,,-23.36,-0.121506449,0,,0,1000000,0
11,42325.11,,-246.21,-1.055429228,0,,0,1000000,0
12,42389.77,,64.65999999999622,0.24736895203943615,0,,0,1000000,0
13,42231.47,,-158.3,-0.687014817,0,,0,1000000,0
14,42400.9,,169.4300000000003,0.686440478,0,,0,1000000,0
15,42496.49,,95.58999999999651,0.3769908123181788,0,,0,1000000,0
16,42552.7,,56.20999999999913,0.21195657831311907,0,,0,1000000,0
17,42650.97,,98.27000000000407,0.3882221923876262,0,,0,1000000,0
18,42688.5,,37.529999999998836,0.13367218290390706,0,,0,1000000,0
19,42690,,1.5,-0.017322826,0,,0,1000000,0
20,42647.83,,-42.17,-0.20033565,0,,0,1000000,0
21,42715.88,,68.04999999999563,0.2615758096645528,0,,0,1000000,0
22,42635.19,,-80.69,-0.361765784,0,,0,1000000,0
23,42797.33,,162.13999999999942,0.6558894479971512,0,,0,1000000,0
24,42742.35,,-54.98,-0.25401997,0,,0,1000000,0
25,42833.66,,91.31000000000495,0.35905413071481895,0,,0,1000000,0
26,43120.92,,287.25999999999476,1.1802440279543294,0,,0,1000000,0
27,43547.61,,426.6900000000023,1.7645691485060881,0,,0,1000000,0
28,43701.58,,153.97000000000116,0.6216505020392756,0,,0,1000000,0
29,43632.21,,-69.37,-0.314325776,0,,0,1000000,0
30,43546.06,,-86.15,-0.384647626,0,,0,1000000,0
31,44220.78,,674.7200000000012,2.8040166106766695,0,,0,1000000,0
32,45093.17,,872.3899999999994,3.6324147070652435,0,,0,1000000,0
33,44894.58,,-198.59,-0.855862691,0,,0,1000000,0
34,45485.31,,590.7299999999959,2.452030188277311,0,,0,1000000,0
35,45473.97,,-11.34,-0.071132871,0,,0,1000000,0
36,45218.83,,-255.14,-1.092853192,0,,0,1000000,0
37,45216.32,,-2.51,-0.034127988,0,,0,1000000,0
38,45208.54,,-7.78,-0.056213575,0,,0,1000000,0
39,45504.64,,296.09999999999854,1.2172908189295821,0,,0,1000000,0
40,45808.07,,303.4300000000003,1.248009481582133,0,,0,1000000,0
41,45711.49,,-96.58,-0.42835781,0,,0,1000000,0
42,45621.38,,-90.11,-0.401243247,0,,0,1000000,0
43,45487.83,,-133.55,-0.583292184,0,,0,1000000,0
44,45339.3,,-148.53,-0.646070569,0,,0,1000000,0
45,45691.05,,351.75,1.450509587908313,0,,0,1000000,0
46,45300.8,,-390.25,-1.659073998,0,,0,1000000,0
47,45236.25,,-64.55,-0.294126055,0,,0,1000000,0
48,45395.48,,159.2300000000032,0.6436941808322418,0,,0,1000000,0
49,44997.95,,-397.53,-1.68958312,0,,0,1000000,0
50,45172.54,,174.59000000000378,0.7080650755584476,0,,0,1000000,0
51,45055.75,,-116.79,-0.51305415,0,,0,1000000,0
52,44801.96,,-253.79,-1.087195594,0,,0,1000000,0
53,45128.54,,326.58000000000175,1.3450268131519052,0,,0,1000000,0
54,45000.74,,-127.8,-0.559195006,0,,0,1000000,0
55,44972.8,,-27.94,-0.140700374,0,,0,1000000,0
56,45156.5,,183.6999999999971,0.7462433861675154,0,,0,1000000,0
57,45341.12,,184.62000000000262,0.7500989345495768,0,,0,1000000,0
58,45299.77,,-41.35,-0.196899183,0,,0,1000000,0
59,45286.95,,-12.82,-0.077335275,0,,0,1000000,0
60,45203.08,,-83.87,-0.375092571,0,,0,1000000,0
61,45184.54,,-18.54,-0.101306728,0,,0,1000000,0
62,45344.02,,159.47999999999593,0.6447418841968956,0,,0,1000000,0
63,45027.43,,-316.59,-1.350378679,0,,0,1000000,0
64,45219.26,,191.83000000000175,0.7803146995870682,0,,0,1000000,0
65,45358.71,,139.4499999999971,0.5607998906183945,0,,0,1000000,0
66,45163.58,,-195.13,-0.841362476,0,,0,1000000,0
67,43737.06,,-1426.52,-6.001888261,0,,0,1000000,0
68,42815.1,,-921.96,-3.887371423,0,,0,1000000,0
69,42568.41,,-246.69,-1.057440818,0,,0,1000000,0
70,42206.31,,-362.1,-1.5411026,0,,0,1000000,0
71,43017.35,,811.0400000000009,3.3753083013717227,0,,0,1000000,0
72,43025.7,,8.349999999998545,0.011384246177954515,0,,0,1000000,0
73,42931.89,,-93.81,-0.416749257,0,,0,1000000,0
74,42263.16,,-668.73,-2.82613173,0,,0,1000000,0
75,42613.07,,349.9099999999962,1.4427984911442207,0,,0,1000000,0
76,42739.95,,126.87999999999738,0.5081213654420693,0,,0,1000000,0
77,42943.2,,203.25,0.8281737892858397,0,,0,1000000,0
78,42764.33,,-178.87,-0.77321985,0,,0,1000000,0
79,42862.44,,98.11000000000058,0.3875516622342136,0,,0,1000000,0
80,42899.27,,36.82999999999447,0.13073861348277274,0,,0,1000000,0
81,42736.8,,-162.47,-0.704490509,0,,0,1000000,0
82,43168.23,,431.4300000000003,1.7844336043004938,0,,0,1000000,0
83,43138.05,,-30.18,-0.150087796,0,,0,1000000,0
84,43187.16,,49.11000000000058,0.1822018027560911,0,,0,1000000,0
85,43218.7,,31.539999999993597,0.10856921028604932,0,,0,1000000,0
86,43193.14,,-25.56,-0.130726238,0,,0,1000000,0
87,42795.01,,-398.13,-1.692097609,0,,0,1000000,0
88,42880.65,,85.63999999999942,0.3352922184037559,0,,0,1000000,0
89,43048.96,,168.30999999999767,0.6817467670375523,0,,0,1000000,0
90,43121.14,,72.18000000000029,0.2788838692491569,0,,0,1000000,0
91,43226.07,,104.93000000000029,0.41613301002280007,0,,0,1000000,0
